aoi,true_pixels,pred_pixels,true_area_ha,pred_area_ha,true_area_km2,pred_area_km2,IoU,precision,recall,tp,fp,fn
Apex_HaddonHall,53,60,0.53,0.6,0.0053,0.006,0.8524590024187049,0.8666666522222225,0.9811320569597726,52,8,1
Austin_Pflugerville,44,14,0.44,0.14,0.0044,0.0014,0.3181818109504134,0.9999999285714337,0.3181818109504134,14,0,30
Charlotte_SteeleCreek,787,826,7.87,8.26,0.0787,0.0826,0.9340527566737976,0.9430992724659815,0.9898348144983039,779,47,8
Dallas_Frisco,529,345,5.29,3.45,0.0529,0.0345,0.6125461243310957,0.9623188377903802,0.6275992426699447,332,13,197
Denver_Stonegate,422,427,4.22,4.27,0.0422,0.0427,0.8993288570484813,0.9414519884275129,0.9526066328137284,402,25,20
Houston_Spring,214,218,2.14,2.18,0.0214,0.0218,0.937219726738925,0.9587155919324973,0.9766355094549742,209,9,5
LasVegas_Inspirada,70,63,0.7,0.63,0.007,0.0063,0.7499999901315791,0.904761890400605,0.8142857026530614,57,6,13
Phoenix_Gilbert,719,720,7.19,7.2,0.0719,0.072,0.9367429327903863,0.9666666653240741,0.9680111252183433,696,24,23
Raleigh_BrierCreek,108,106,1.08,1.06,0.0108,0.0106,0.8771929747614652,0.94339621751513,0.9259259173525378,100,6,8
Raleigh_NorthHills,242,160,2.42,1.6,0.0242,0.016,0.6275303618318608,0.9687499939453126,0.6404958651219179,155,5,87
